feature,importance,method
V14,0.07717572848630433,mean_abs_shap
V12,0.07460900436403334,mean_abs_shap
V4,0.047240765215593485,mean_abs_shap
V10,0.04572235290328641,mean_abs_shap
V11,0.04548277106385613,mean_abs_shap
V3,0.037398146418891665,mean_abs_shap
V17,0.02579589343380597,mean_abs_shap
V16,0.018626171092897194,mean_abs_shap
V9,0.015656710815143606,mean_abs_shap
V1,0.013775262970763723,mean_abs_shap
V7,0.011665588374553814,mean_abs_shap
V2,0.009630280871266083,mean_abs_shap
V18,0.008881618424728033,mean_abs_shap
V24,0.006026261019253755,mean_abs_shap
V21,0.0060195296159834865,mean_abs_shap
V13,0.005680784132795882,mean_abs_shap
V8,0.005148080426387612,mean_abs_shap
V5,0.004884007517646844,mean_abs_shap
V19,0.0048827872919426875,mean_abs_shap
V26,0.004865761582511054,mean_abs_shap
V20,0.00405950918497995,mean_abs_shap
V27,0.00369135566238201,mean_abs_shap
V22,0.0035210851049920777,mean_abs_shap
V6,0.0035171439588872907,mean_abs_shap
Time,0.0035007347592270997,mean_abs_shap
V15,0.00345792442094961,mean_abs_shap
Amount,0.0034144791616278793,mean_abs_shap
V28,0.00321344134397322,mean_abs_shap
amount_log,0.0031595244307249947,mean_abs_shap
amount_zscore,0.0028752980812391843,mean_abs_shap
V25,0.0024841568071767885,mean_abs_shap
V23,0.002483520593986864,mean_abs_shap
hour,0.00234978606179948,mean_abs_shap
hour_sin,0.0018378914318900566,mean_abs_shap
hour_cos,0.0016879196772499334,mean_abs_shap
is_night,9.516238403757536e-05,mean_abs_shap
